Variable,Category,ave,se,t,pvalue,lb,ub,crit,N,year
Urban Areas,Livelihood Zone,0.48564295,0.01767038,27.483446,8.19E-158,0.4510035,0.52028239,1.9603112,801,2010
Lake Kivu Coffee,Livelihood Zone,0.33089312,0.0180177,18.364889,1.45E-73,0.29557281,0.36621342,1.9603112,683,2010
West Congo-Nile Crest Tea,Livelihood Zone,0.38461538,0.02426463,15.850867,1.35E-55,0.33704916,0.4321816,1.9603112,403,2010
Northwest Volcanic Irish Potato,Livelihood Zone,0.38259109,0.02188923,17.478511,5.88E-67,0.3396814,0.42550079,1.9603112,494,2010
East Congo-Nile Highland Subsistence,Livelihood Zone,0.48259643,0.01533361,31.473105,3.69E-203,0.45253777,0.51265508,1.9603112,1063,2010
Central Plateau Cassava and Coffee,Livelihood Zone,0.50331754,0.01540069,32.681496,8.37E-218,0.47312739,0.53350768,1.9603112,1055,2010
Northern Highland Beans and Wheat,Livelihood Zone,0.47767857,0.03344909,14.280762,1.30E-45,0.41210794,0.54324921,1.9603112,224,2010
Central-Northern Highland,Livelihood Zone,0.5308642,0.02482849,21.381251,3.12E-98,0.48219263,0.57953577,1.9603112,405,2010
Bugesera Cassava,Livelihood Zone,0.44827586,0.02925397,15.323593,3.89E-52,0.39092898,0.50562274,1.9603112,290,2010
Eastern Plateau Mixed Agriculture,Livelihood Zone,0.51126126,0.02374969,21.52707,1.65E-99,0.46470448,0.55781805,1.9603112,444,2010
Southeastern Plateau Banana,Livelihood Zone,0.45409836,0.02017546,22.507456,2.80E-108,0.41454817,0.49364855,1.9603112,610,2010
Eastern Agropastoral,Livelihood Zone,0.36184211,0.03910526,9.2530296,2.87E-20,0.28518363,0.43850058,1.9603112,152,2010
Eastern Semi-Arid Agropastoral,Livelihood Zone,0.49047619,0.03457945,14.184037,4.99E-45,0.42268971,0.55826267,1.9603112,210,2010
age 15 - 19,Age,0.30645507,0.05188095,5.9068905,1.15E-08,0.20426754,0.40864259,1.9696542,83,2010
age 20 - 24,Age,0.42112802,0.017315,24.321565,2.17E-67,0.38702345,0.4552326,1.9696542,974,2010
age 25 - 29,Age,0.4982356,0.01304867,38.182873,2.27E-105,0.47253423,0.52393696,1.9696542,1760,2010
age 30 - 34,Age,0.50206709,0.01290059,38.918147,4.04E-107,0.47665738,0.52747679,1.9696542,1454,2010
